State Code,County Code,Site Num,Latitude,Longitude,Parameter Name,Sample Duration,Pollutant_Standard,Date Local,Units_ of_ Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,State_ Name,County _Name,City Name,CBSA Name,Date of Last Change
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/14/2019,Parts per million,24,100,0.18525,0.278,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/15/2019,Parts per million,24,100,0.172292,0.211,8,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/16/2019,Parts per million,24,100,0.153375,0.174,21,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/17/2019,Parts per million,24,100,0.218167,0.446,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/18/2019,Parts per million,24,100,0.22725,0.301,3,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/19/2019,Parts per million,23,96,0.259696,0.664,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/20/2019,Parts per million,24,100,0.416917,1.518,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/21/2019,Parts per million,24,100,0.18875,0.249,10,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/22/2019,Parts per million,24,100,0.167917,0.2,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/23/2019,Parts per million,24,100,0.16725,0.245,21,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/24/2019,Parts per million,24,100,0.274375,0.696,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/25/2019,Parts per million,24,100,0.251042,0.66,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/26/2019,Parts per million,23,96,0.18887,0.394,21,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/27/2019,Parts per million,24,100,0.241917,0.7,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/28/2019,Parts per million,24,100,0.24725,1.352,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/29/2019,Parts per million,24,100,0.32125,0.587,22,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
